country,year,banking_crisis,systemic_crisis,gold_standard,exch_usd,national_currency,exch_sources,domestic_debt_in_default,soreign_extenal_deb_1,soreign_extenal_deb_2,gdp_weighted_default,inflation_annual_percentages_average,independence,currency_crises,inflation_crises,id
Algeria,1983.0,0.0,0.0,0,4.9165,32.0,9,0.0,0.0,0.0,0.0,7.8,1,0,0.0,152
Algeria,1984.0,0.0,0.0,0,5.1227,32.0,9,0.0,0.0,0.0,0.0,6.3,1,0,0.0,153
Algeria,1985.0,0.0,0.0,0,4.7728,32.0,9,0.0,0.0,0.0,0.0,10.4,1,0,0.0,154
Algeria,1986.0,0.0,0.0,0,4.8235,32.0,9,0.0,0.0,0.0,0.0,14.0,1,0,0.0,155
Algeria,1987.0,0.0,0.0,0,4.9363,32.0,9,0.0,0.0,0.0,0.0,5.9,1,0,0.0,156
Algeria,1988.0,0.0,0.0,0,6.7308,32.0,9,0.0,0.0,0.0,0.0,5.9,1,1,0.0,157
Algeria,1989.0,0.0,0.0,0,8.0324,32.0,9,0.0,0.0,0.0,0.0,9.2,1,1,0.0,158
Algeria,1990.0,1.0,1.0,0,12.1908,32.0,9,0.0,0.0,0.0,0.0,9.3,1,1,0.0,159
Algeria,1991.0,1.0,1.0,0,21.3919,32.0,9,0.0,1.0,1.0,0.23,25.9,1,1,1.0,160
Algeria,1992.0,1.0,1.0,0,22.7814,32.0,9,0.0,1.0,1.0,0.23,31.7,1,0,1.0,161
Algeria,1993.0,0.0,0.0,0,24.123,32.0,9,0.0,1.0,1.0,0.23,20.5,1,0,1.0,162
Algeria,1994.0,0.0,0.0,0,42.8925,32.0,9,0.0,1.0,1.0,0.23,29.0,1,1,1.0,163
Algeria,1995.0,0.0,0.0,0,52.175,32.0,9,0.0,1.0,1.0,0.23,29.8,1,1,1.0,164
Algeria,1996.0,0.0,0.0,0,56.1859,32.0,9,0.0,1.0,1.0,0.23,18.7,1,0,0.0,165
Algeria,1997.0,0.0,0.0,0,58.4139,32.0,9,0.0,0.0,0.0,0.0,5.7,1,0,0.0,166
Algeria,1998.0,0.0,0.0,0,60.3531,32.0,9,0.0,0.0,0.0,0.0,5.0,1,0,0.0,167
Algeria,1999.0,0.0,0.0,0,69.3143,32.0,9,0.0,0.0,0.0,0.0,2.6,1,0,0.0,168
Algeria,2000.0,0.0,0.0,0,75.3428,32.0,9,0.0,0.0,0.0,0.0,0.3,1,0,0.0,169
Algeria,2001.0,0.0,0.0,0,77.8196,32.0,9,0.0,0.0,0.0,0.0,4.2,1,0,0.0,170
Algeria,2002.0,0.0,0.0,0,79.7234,32.0,9,0.0,0.0,0.0,0.0,1.4,1,0,0.0,171
Algeria,2003.0,0.0,0.0,0,72.6128,32.0,9,0.0,0.0,0.0,0.0,4.3,1,0,0.0,172
Algeria,2004.0,0.0,0.0,0,72.6137,32.0,9,0.0,0.0,0.0,0.0,4.0,1,0,0.0,173
Algeria,2005.0,0.0,0.0,0,73.3799,32.0,9,0.0,0.0,0.0,0.0,1.4,1,0,0.0,174
Algeria,2006.0,0.0,0.0,0,71.1582,32.0,9,0.0,0.0,0.0,0.0,2.3,1,0,0.0,175
Algeria,2007.0,0.0,0.0,0,66.8299,32.0,10,0.0,0.0,0.0,0.0,3.7,1,0,0.0,176
Algeria,2008.0,0.0,0.0,0,71.1826,32.0,9,0.0,0.0,0.0,0.0,4.9,1,0,0.0,177
Algeria,2009.0,0.0,0.0,0,72.7309,32.0,9,0.0,0.0,0.0,0.0,5.7,1,0,0.0,178
Algeria,2010.0,0.0,0.0,0,74.9437,32.0,9,0.0,0.0,0.0,0.0,3.9,1,0,0.0,179
Algeria,2011.0,0.0,0.0,0,76.0563,32.0,9,0.0,0.0,0.0,0.0,4.5,1,0,0.0,180
Algeria,2012.0,0.0,0.0,0,78.1025,32.0,9,0.0,0.0,0.0,0.0,8.9,1,0,0.0,181
Algeria,2013.0,0.0,0.0,0,78.148701298701,32.0,9,0.0,0.0,0.0,0.0,3.3,1,0,0.0,182
Algeria,2014.0,0.0,0.0,0,87.970698297408,32.0,9,0.0,0.0,0.0,0.0,2.9,1,0,0.0,183
Algeria,2015.0,0.0,0.0,0,107.132,32.0,9,0.0,0.0,0.0,0.0,4.8,1,0,0.0,184
Algeria,2016.0,0.0,0.0,0,113.495,32.0,18,0.0,0.0,0.0,0.0,4.3,1,0,0.0,185
Angola,1921.0,0.0,0.0,0,1.24694e-08,9.0,11,0.0,0.0,0.0,0.0,29.6,0,0,1.0,186
Angola,1922.0,0.0,0.0,0,2.2118e-08,9.0,11,0.0,0.0,0.0,0.0,45.7,0,0,1.0,187
Angola,1923.0,0.0,0.0,0,2.80615e-08,9.0,11,0.0,0.0,0.0,0.0,68.6,0,0,1.0,188
Angola,1924.0,0.0,0.0,0,2.08433e-08,9.0,11,0.0,0.0,0.0,0.0,126.7,0,0,1.0,189
Angola,1925.0,0.0,0.0,0,1.95427e-08,9.0,11,0.0,0.0,0.0,0.0,-27.2,0,0,0.0,190
Angola,1926.0,0.0,0.0,0,1.95328e-08,9.0,11,0.0,0.0,0.0,0.0,-7.0,0,0,0.0,191
Angola,1927.0,0.0,0.0,0,2.01816e-08,9.0,11,0.0,0.0,0.0,0.0,-17.4,0,0,0.0,192
Angola,1928.0,0.0,0.0,0,2.2685e-08,9.0,11,0.0,0.0,0.0,0.0,-9.2,0,0,0.0,193
Angola,1929.0,0.0,0.0,1,2.21666e-08,9.0,11,0.0,0.0,0.0,0.0,-5.1,0,0,0.0,194
Angola,1930.0,0.0,0.0,1,2.2302e-08,9.0,11,0.0,0.0,0.0,0.0,-5.3,0,0,0.0,195
Angola,1931.0,0.0,0.0,1,3.09578e-08,9.0,11,0.0,0.0,0.0,0.0,0.0,0,0,0.0,196
Angola,1932.0,0.0,0.0,0,3.31225e-08,9.0,11,0.0,0.0,0.0,0.0,-2.2,0,0,0.0,197
Angola,1933.0,0.0,0.0,0,2.13256e-08,9.0,11,0.0,0.0,0.0,0.0,2.3,0,0,0.0,198
Angola,1934.0,0.0,0.0,0,2.22336e-08,9.0,11,0.0,0.0,0.0,0.0,3.4,0,0,0.0,199
Angola,1935.0,0.0,0.0,0,2.22946e-08,9.0,11,0.0,0.0,0.0,0.0,5.4,0,0,0.0,200
Angola,1936.0,0.0,0.0,0,2.24648e-08,9.0,11,0.0,0.0,0.0,0.0,-1.0,0,0,0.0,201
Angola,1937.0,0.0,0.0,0,2.21107e-08,9.0,11,0.0,0.0,0.0,0.0,2.1,0,0,0.0,202
Angola,1938.0,0.0,0.0,0,2.35849e-08,9.0,11,0.0,0.0,0.0,0.0,2.0,0,0,0.0,203
Angola,1939.0,0.0,0.0,0,2.77439e-08,9.0,11,0.0,0.0,0.0,0.0,1.0,0,0,0.0,204
Angola,1940.0,0.0,0.0,0,2.50532e-08,9.0,11,0.0,0.0,0.0,0.0,13.9,0,0,0.0,205
Angola,1941.0,0.0,0.0,0,2.5e-08,9.0,11,0.0,0.0,0.0,0.0,16.5,0,0,0.0,206
Angola,1942.0,0.0,0.0,0,2.5e-08,9.0,11,0.0,0.0,0.0,0.0,17.9,0,0,0.0,207
Angola,1943.0,0.0,0.0,0,2.5e-08,9.0,11,0.0,0.0,0.0,0.0,13.9,0,0,0.0,208
Angola,1944.0,0.0,0.0,0,2.5e-08,9.0,11,0.0,0.0,0.0,0.0,7.8,0,0,0.0,209
Angola,1945.0,0.0,0.0,0,2.5e-08,9.0,11,0.0,0.0,0.0,0.0,5.2,0,0,0.0,210
Angola,1946.0,0.0,0.0,0,2.63e-08,9.0,11,0.0,0.0,0.0,0.0,4.9,0,0,0.0,211
Angola,1947.0,0.0,0.0,0,2.495e-08,9.0,11,0.0,0.0,0.0,0.0,13.6,0,0,0.0,212
Angola,1948.0,0.0,0.0,0,2.58e-08,9.0,11,0.0,0.0,0.0,0.0,-16.9,0,0,0.0,213
Angola,1949.0,0.0,0.0,0,2.86e-08,9.0,11,0.0,0.0,0.0,0.0,-1.0,0,0,0.0,214
Angola,1950.0,0.0,0.0,0,2.91e-08,9.0,11,0.0,0.0,0.0,0.0,4.0,0,0,0.0,215
Angola,1951.0,0.0,0.0,0,2.91e-08,9.0,11,0.0,0.0,0.0,0.0,-7.7,0,0,0.0,216
Angola,1952.0,0.0,0.0,0,2.9e-08,9.0,11,0.0,0.0,0.0,0.0,3.1,0,0,0.0,217
